Высоты, Вертикальная скорость, Время
790925.55310587852216031024, 445.77668923739255882333, 3080.10000000000060405014
790880.97543695478287872902, 445.78332292498113353929, 3080.20000000000060413896
790836.39710466228478935591, 445.78995720945467867713, 3080.30000000000060422778
790791.81810894133934652928, 445.79659209090264165853, 3080.40000000000060431660
790747.23844973224908017073, 445.80322756941448877899, 3080.50000000000060440541
790702.65812697530765262854, 445.80986364507970529103, 3080.60000000000060449423
790658.07714061079968814738, 445.81650031798779529324, 3080.70000000000060458305
790613.49549057900088655515, 445.82313758822828184125, 3080.80000000000060467187
790568.91317682017808010642, 445.82977545589070689225, 3080.90000000000060476069
790524.33019927458900610873, 445.83641392106463133271, 3081.00000000000060484950
790479.74655788248253429629, 445.84305298383963497844, 3081.10000000000060493832
790435.16225258409855314312, 445.84969264430531654675, 3081.20000000000060502714
790390.57728331966802670649, 445.85633290255129371205, 3081.30000000000060511596
790345.99165002941288094007, 445.86297375866720310578, 3081.40000000000060520478
790301.40535265354617422418, 445.86961521274270028870, 3081.50000000000060529359
790256.81839113227192683553, 445.87625726486745977861, 3081.60000000000060538241
790212.23076540578517779068, 445.88289991513117507815, 3081.70000000000060547123
790167.64247541427204168940, 445.88954316362355859149, 3081.80000000000060556005
790123.05352109790970871472, 445.89618701043434176312, 3081.90000000000060564886
790078.46390239686627410265, 445.90283145565327496684, 3082.00000000000060573768
790033.87361925130096551584, 445.90947649937012756127, 3082.10000000000060582650
789989.28267160136397251335, 445.91612214167468788983, 3082.20000000000060591532
789944.69105938719650339408, 445.92276838265676328077, 3082.30000000000060600414
789900.09878254893084204014, 445.92941522240618010264, 3082.40000000000060609295
789855.50584102669023423005, 445.93606266101278365332, 3082.50000000000060618177
789810.91223476058894448215, 445.94271069856643829876, 3082.60000000000060627059
789766.31796369073231289804, 445.94935933515702736196, 3082.70000000000060635941
789721.72302775721658463226, 445.95600857087445320626, 3082.80000000000060644822
789677.12742690012913726605, 445.96265840580863723530, 3082.90000000000060653704
789632.53116105954825343360, 445.96930884004951983757, 3083.00000000000060662586
789587.93423017554329135237, 445.97595987368706046960, 3083.10000000000060671468
789543.33663418817457113619, 445.98261150681123760053, 3083.20000000000060680350
789498.73837303749343163872, 445.98926373951204873980, 3083.30000000000060689231
789454.13944666354223045346, 445.99591657187951046493, 3083.40000000000060698113
789409.53985500635428707028, 446.00257000400365839377, 3083.50000000000060706995
789364.93959800595393971889, 446.00922403597454718449, 3083.60000000000060715877
789320.33867560235648852540, 446.01587866788225059111, 3083.70000000000060724759
789275.73708773556825235573, 446.02253389981686140797, 3083.80000000000060733640
789231.13483434558656881563, 446.02918973186849152524, 3083.90000000000060742522
789186.53191537239973740725, 446.03584616412727187340, 3084.00000000000060751404
789141.92833075598701952913, 446.04250319668335250656, 3084.10000000000060760286
789097.32408043631869531964, 446.04916082962690254687, 3084.20000000000060769167
789052.71916435335600681356, 446.05581906304811021236, 3084.30000000000060778049
789008.11358244705121478546, 446.06247789703718281684, 3084.40000000000060786931
788963.50733465734748506293, 446.06913733168434679777, 3084.50000000000060795813
788918.90042092417905905677, 446.07579736707984766064, 3084.60000000000060804695
788874.29284118747108323078, 446.08245800331395006233, 3084.70000000000060813576
788829.68459538713966594514, 446.08911924047693778328, 3084.80000000000060822458
788785.07568346309199114330, 446.09578107865911369978, 3084.90000000000060831340
788740.46610535522609097825, 446.10244351795079983947, 3085.00000000000060840222
788695.85586100343101634280, 446.10910655844233738132, 3085.10000000000060849104
788651.24495034758678002618, 446.11577020022408660016, 3085.20000000000060857985
788606.63337332756435671399, 446.12243444338642692215, 3085.30000000000060866867
788562.02112988322573983169, 446.12909928801975698032, 3085.40000000000060875749
788517.40821995442377101426, 446.13576473421449450352, 3085.50000000000060884631
788472.79464348100231063654, 446.14243078206107639971, 3085.60000000000060893512
788428.18040040279618096974, 446.14909743164995875597, 3085.70000000000060902394
788383.56549065963116618150, 446.15576468307161683846, 3085.80000000000060911276
788338.94991419132401233583, 446.16243253641654506469, 3085.90000000000060920158
788294.33367093768237054974, 446.16910099177525703129, 3086.00000000000060929040
788249.71676083850485383664, 446.17577004923828556948, 3086.10000000000060937921
788205.09918383358103710634, 446.18243970889618266185, 3086.20000000000060946803
788160.48093986269140032164, 446.18910997083951949782, 3086.30000000000060955685
788115.86202886560744218514, 446.19578083515888647370, 3086.40000000000060964567
788071.24245078209156645244, 446.20245230194489319264, 3086.50000000000060973449
788026.62220555189708193211, 446.20912437128816849241, 3086.60000000000060982330
787982.00129311476825932914, 446.21579704327936038988, 3086.70000000000060991212
787937.37971341044033124490, 446.22247031800913616428, 3086.80000000000061000094
787892.75746637863943533375, 446.22914419556818230173, 3086.90000000000061008976
787848.13455195908261430304, 446.23581867604720455067, 3087.00000000000061017857
787803.51097009147787275651, 446.24249375953692786645, 3087.10000000000061026739
787758.88672071552417719431, 446.24916944612809646675, 3087.20000000000061035621
787714.26180377091134232614, 446.25584573591147380389, 3087.30000000000061044503
787669.63621919732020160154, 446.26252262897784262030, 3087.40000000000061053385
787625.00996693442243667960, 446.26920012541800489303, 3087.50000000000061062266
787580.38304692188063427238, 446.27587822532278188925, 3087.60000000000061071148
787535.75545909934834298838, 446.28255692878301413851, 3087.70000000000061080030
787491.12720340647001648904, 446.28923623588956143271, 3087.80000000000061088912
787446.49827978288107033222, 446.29591614673330285390, 3087.90000000000061097793
787401.86868816820771144194, 446.30259666140513677424, 3088.00000000000061106675
787357.23842850206722232542, 446.30927777999598088376, 3088.10000000000061115557
787312.60750072406762001265, 446.31595950259677213490, 3088.20000000000061124439
787267.97590477380794027340, 446.32264182929846679793, 3088.30000000000061133321
787223.34364059087806708703, 446.32932476019204046103, 3088.40000000000061142202
787178.71070811485884632930, 446.33600829536848800250, 3088.50000000000061151084
787134.07710728532197208551, 446.34269243491882364627, 3088.60000000000061159966
787089.44283804183010033739, 446.34937717893408096193, 3088.70000000000061168848
787044.80790032393667843280, 446.35606252750531278140, 3088.80000000000061177730
787000.17229407118617245942, 446.36274848072359133777, 3088.90000000000061186611
786955.53601922311378302766, 446.36943503868000818202, 3089.00000000000061195493
786910.89907571924578633116, 446.37612220146567418300, 3089.10000000000061204375
786866.26146349909919308629, 446.38280996917171961069, 3089.20000000000061213257
786821.62318250218203274926, 446.38949834188929405299, 3089.30000000000061222138
786776.98423266799312614239, 446.39618731970956649890, 3089.40000000000061231020
786732.34461393602214229759, 446.40287690272372525535, 3089.50000000000061239902
786687.70432624574976898657, 446.40956709102297805813, 3089.60000000000061248784
786643.06336953664748534720, 446.41625788469855198870, 3089.70000000000061257666
786598.42174374817761872691, 446.42294928384169350188, 3089.80000000000061266547
786553.77944881979345836953, 446.42964128854366848143, 3089.90000000000061275429
786509.13648469093908488503, 446.43633389889576215670, 3090.00000000000061284311
786464.49285130104948393637, 446.44302711498927921374, 3090.10000000000061293193
786419.84854858955054623948, 446.44972093691554368422, 3090.20000000000061302075
786375.20357649585901071987, 446.45641536476589905647, 3090.30000000000061310956
786330.55793495938240766918, 446.46311039863170819220, 3090.40000000000061319838
786285.91162391951922927547, 446.46980603860435340979, 3090.50000000000061328720
786241.26464331565881593633, 446.47650228477523645654, 3090.60000000000061337602
786196.61699308718129941553, 446.48319913723577848086, 3090.70000000000061346483
786151.96867317345771652981, 446.48989659607742008784, 3090.80000000000061355365
786107.31968351384995230546, 446.49659466139162131149, 3090.90000000000061364247
786062.67002404771079682178, 446.50329333326986167019, 3091.00000000000061373129
786018.01969471438383152417, 446.50999261180364011126, 3091.10000000000061382011
785973.36869545320348606765, 446.51669249708447501090, 3091.20000000000061390892
785928.71702620349503831676, 446.52339298920390425751, 3091.30000000000061399774
785884.06468690457467118904, 446.53009408825348516836, 3091.40000000000061408656
785839.41167749574930212475, 446.53679579432479457290, 3091.50000000000061417538
785794.75799791631681046056, 446.54349810750942875726, 3091.60000000000061426420
785750.10364810556586689927, 446.55020102789900351969, 3091.70000000000061435301
785705.44862800277599035326, 446.55690455558515411516, 3091.80000000000061444183
785660.79293754721749110104, 446.56360869065953528301, 3091.90000000000061453065
785616.13657667815152763069, 446.57031343321382133027, 3092.00000000000061461947
785571.47954533483016348328, 446.57701878333970599289, 3092.10000000000061470828
785526.82184345649619672258, 446.58372474112890257447, 3092.20000000000061479710
785482.16347098238333046538, 446.59043130667314389082, 3092.30000000000061488592
785437.50442785171600235117, 446.59713848006418224212, 3092.40000000000061497474
785392.84471400370955507242, 446.60384626139378949627, 3092.50000000000061506356
785348.18432937757017953118, 446.61055465075375703332, 3092.60000000000061515237
785303.52327391249480115221, 446.61726364823589577324, 3092.70000000000061524119
785258.86154754767119356984, 446.62397325393203620369, 3092.80000000000061533001
785214.19915022227797862797, 446.63068346793402832451, 3092.90000000000061541883
785169.53608187548456953664, 446.63739429033374173095, 3093.00000000000061550764
785124.87234244645117087202, 446.64410572122306555820, 3093.10000000000061559646
785080.20793187432883541987, 446.65081776069390850914, 3093.20000000000061568528
785035.54285009825946417550, 446.65753040883819882656, 3093.30000000000061577410
784990.87709705737563581351, 446.66424366574788440420, 3093.40000000000061586292
784946.21067269080083406152, 446.67095753151493264799, 3093.50000000000061595173
784901.54357693764933401326, 446.67767200623133058701, 3093.60000000000061604055
784856.87580973702620212862, 446.68438708998908481806, 3093.70000000000061612937
